Designation Name,Donation Amount,Donation Date,Supporter First Name,Supporter Last Name,Supporter Email,Donation Comment,Tribute Message,Campaign Name
"City, State Clinic",$32.30 ,7/9/2026,FIRST1,LAST1,EMAIL@EMAIL.EMAIL,"“First Last” 
Thank You for always working hard on clinics and being passionate about OneSight!",,2026 Clinic Fundraising
"City, State Clinic",$107.00 ,7/9/2026,FIRST2,LAST2,EMAIL@EMAIL.EMAIL,,,2026 Clinic Fundraising
"City, State Clinic",$21.70 ,7/9/2026,FIRST3,LAST3,EMAIL@EMAIL.EMAIL,First Last,,2026 Clinic Fundraising
"City, State Clinic",$37.60 ,7/9/2026,FIRST4,LAST4,EMAIL@EMAIL.EMAIL,,,2026 Clinic Fundraising
"City, State Clinic",$11.30 ,7/9/2026,FIRST5,LAST5,EMAIL@EMAIL.EMAIL,,,2026 Clinic Fundraising
"City, State Clinic",$600.00 ,7/9/2026,FIRST6,LAST6,EMAIL@EMAIL.EMAIL,,,2026 Clinic Fundraising
"City, State Clinic",$107.00 ,7/9/2026,FIRST7,LAST7,EMAIL@EMAIL.EMAIL,,,2026 Clinic Fundraising
"City, State Clinic",$53.60 ,7/9/2026,FIRST8,LAST8,EMAIL@EMAIL.EMAIL,First Last- raffle tickets,,2026 Clinic Fundraising
"City, State Clinic",$43.00 ,7/9/2026,FIRST9,LAST9,EMAIL@EMAIL.EMAIL,"Thanks, First Last, for your work at this clinic!",,2026 Clinic Fundraising
"City, State Clinic",$64.30 ,7/9/2026,FIRST10,LAST10,EMAIL@EMAIL.EMAIL,Sponsoring First Last,,2026 Clinic Fundraising
"City, State Clinic",$11.00 ,7/9/2026,FIRST11,LAST11,EMAIL@EMAIL.EMAIL,,,2026 Clinic Fundraising
"City, State Clinic",$21.70 ,7/9/2026,FIRST12,LAST12,EMAIL@EMAIL.EMAIL,,,2026 Clinic Fundraising
"City, State Clinic",$69.60 ,7/9/2026,FIRST13,LAST13,EMAIL@EMAIL.EMAIL,,,2026 Clinic Fundraising
"City, State Clinic",$69.60 ,7/9/2026,FIRST14,LAST14,EMAIL@EMAIL.EMAIL,,,2026 Clinic Fundraising
"City, State Clinic",$161.00 ,7/9/2026,FIRST15,LAST15,EMAIL@EMAIL.EMAIL,,,2026 Clinic Fundraising
"City, State Clinic",$100.00 ,7/9/2026,FIRST16,LAST16,EMAIL@EMAIL.EMAIL,,,2026 Clinic Fundraising
"City, State Clinic",$86.00 ,7/9/2026,FIRST17,LAST17,EMAIL@EMAIL.EMAIL,Go team!,,2026 Clinic Fundraising
"City, State Clinic",$100.00 ,7/9/2026,FIRST18,LAST18,EMAIL@EMAIL.EMAIL,,,2026 Clinic Fundraising
"City, State Clinic",$53.60 ,7/9/2026,FIRST19,LAST19,EMAIL@EMAIL.EMAIL,,,2026 Clinic Fundraising
"City, State Clinic",$53.60 ,7/9/2026,FIRST20,LAST20,EMAIL@EMAIL.EMAIL,,,2026 Clinic Fundraising
"City, State Clinic",$107.00 ,7/9/2026,FIRST21,LAST21,EMAIL@EMAIL.EMAIL,,,2026 Clinic Fundraising
"City, State Clinic",$107.00 ,7/9/2026,FIRST22,LAST22,EMAIL@EMAIL.EMAIL,,,2026 Clinic Fundraising
"City, State Clinic",$27.00 ,7/9/2026,FIRST23,LAST23,EMAIL@EMAIL.EMAIL,,,2026 Clinic Fundraising
"City, State Clinic",$53.60 ,7/9/2026,FIRST24,LAST24,EMAIL@EMAIL.EMAIL,First Last- thanks for doing this!,,2026 Clinic Fundraising
"City, State Clinic",$107.00 ,7/9/2026,FIRST25,LAST25,EMAIL@EMAIL.EMAIL,FIRST L,,2026 Clinic Fundraising
